ai_app_id,ability_id,label,note
2,21,high,"[real-time video games] Rapid perception–action cycles, multitasking in dynamic environments. — engages 'Time Sharing': the ability to shift back and forth between two or more activities or sources of information. (FRS≈0.75)."
1,21,low,"[abstract strategy games] Search/planning over discrete states; strong mapping to rule-based reasoning/patterns. — little for 'Time Sharing', unrelated to the ability to shift back and forth between two or more activities or sources of information. (FRS≈0.25)."
2,22,high,"[real-time video games] Rapid perception–action cycles, multitasking in dynamic environments. — engages 'Arm-Hand Steadiness': the ability to keep your hand and arm steady while moving your arm or while holding your arm and hand in one position. (FRS≈0.75)."
3,22,low,"[image recognition] Detects/categorizes visual objects; limited for non-visual abilities. — little for 'Arm-Hand Steadiness', unrelated to the ability to keep your hand and arm steady while moving your arm or while holding your arm and hand in one position. (FRS≈0.00)."
2,23,high,"[real-time video games] Rapid perception–action cycles, multitasking in dynamic environments. — engages 'Manual Dexterity': the ability to quickly move your hand, your hand together with your arm, or your two hands to grasp, manipulate, or assemble objects. (FRS≈0.75)."
3,23,low,"[image recognition] Detects/categorizes visual objects; limited for non-visual abilities. — little for 'Manual Dexterity', unrelated to the ability to quickly move your hand, your hand together with your arm, or your two hands to grasp, manipulate, or assemble objects. (FRS≈0.00)."
2,24,high,"[real-time video games] Rapid perception–action cycles, multitasking in dynamic environments. — engages 'Finger Dexterity': the ability to make precisely coordinated movements of the fingers of one or both hands to grasp, manipulate, or assemble very small objects. (FRS≈0.75)."
3,24,low,"[image recognition] Detects/categorizes visual objects; limited for non-visual abilities. — little for 'Finger Dexterity', unrelated to the ability to make precisely coordinated movements of the fingers of one or both hands to grasp, manipulate, or assemble very small objects. (FRS≈0.00)."
2,25,high,"[real-time video games] Rapid perception–action cycles, multitasking in dynamic environments. — engages 'Control Precision': the ability to quickly and repeatedly adjust the controls of a machine or a vehicle to exact positions. (FRS≈0.75)."
3,25,low,"[image recognition] Detects/categorizes visual objects; limited for non-visual abilities. — little for 'Control Precision', unrelated to the ability to quickly and repeatedly adjust the controls of a machine or a vehicle to exact positions. (FRS≈0.00)."
2,26,high,"[real-time video games] Rapid perception–action cycles, multitasking in dynamic environments. — engages 'Multilimb Coordination': the ability to coordinate two or more limbs while sitting, standing, or lying down (not while the whole body is in motion). (FRS≈0.50)."
3,26,low,"[image recognition] Detects/categorizes visual objects; limited for non-visual abilities. — little for 'Multilimb Coordination', unrelated to the ability to coordinate two or more limbs while sitting, standing, or lying down (not while the whole body is in motion). (FRS≈0.00)."
2,27,high,"[real-time video games] Rapid perception–action cycles, multitasking in dynamic environments. — engages 'Response Orientation': the ability to choose quickly between two or more movements in response to two or more different signals; includes the speed of starting the correct response. (FRS≈0.50)."
3,27,low,"[image recognition] Detects/categorizes visual objects; limited for non-visual abilities. — little for 'Response Orientation', unrelated to the ability to choose quickly between two or more movements in response to two or more different signals; includes the speed of starting the correct response. (FRS≈0.00)."
1,28,high,[abstract strategy games] Search/planning over discrete states; strong mapping to rule-based reasoning/patterns. — engages 'Rate Control': the ability to time your movements or the movement of equipment in anticipation of changes in speed and/or direction of a moving object or scene. (FRS≈0.25).
3,28,low,"[image recognition] Detects/categorizes visual objects; limited for non-visual abilities. — little for 'Rate Control', unrelated to the ability to time your movements or the movement of equipment in anticipation of changes in speed and/or direction of a moving object or scene. (FRS≈0.00)."
2,29,high,"[real-time video games] Rapid perception–action cycles, multitasking in dynamic environments. — engages 'Reaction Time': the ability to quickly respond with the hand, finger, or foot to a signal (sound, light, picture) when it appears. (FRS≈0.75)."
3,29,low,"[image recognition] Detects/categorizes visual objects; limited for non-visual abilities. — little for 'Reaction Time', unrelated to the ability to quickly respond with the hand, finger, or foot to a signal (sound, light, picture) when it appears. (FRS≈0.00)."
1,30,high,"[abstract strategy games] Search/planning over discrete states; strong mapping to rule-based reasoning/patterns. — engages 'Wrist-Finger Speed': the ability to make fast, simple, repeated movements of the fingers, hands, and wrists. (FRS≈0.25)."
3,30,low,"[image recognition] Detects/categorizes visual objects; limited for non-visual abilities. — little for 'Wrist-Finger Speed', unrelated to the ability to make fast, simple, repeated movements of the fingers, hands, and wrists. (FRS≈0.00)."
2,31,high,"[real-time video games] Rapid perception–action cycles, multitasking in dynamic environments. — engages 'Speed of Limb Movement': the ability to quickly move the arms and legs. (FRS≈0.50)."
3,31,low,"[image recognition] Detects/categorizes visual objects; limited for non-visual abilities. — little for 'Speed of Limb Movement', unrelated to the ability to quickly move the arms and legs. (FRS≈0.00)."
2,32,high,"[real-time video games] Rapid perception–action cycles, multitasking in dynamic environments. — engages 'Static Strength': the ability to exert maximum muscle force to lift, push, pull, or carry objects. (FRS≈0.25)."
1,32,low,"[abstract strategy games] Search/planning over discrete states; strong mapping to rule-based reasoning/patterns. — little for 'Static Strength', unrelated to the ability to exert maximum muscle force to lift, push, pull, or carry objects. (FRS≈0.00)."
2,33,high,"[real-time video games] Rapid perception–action cycles, multitasking in dynamic environments. — engages 'Dynamic Strength': the ability to exert muscle force repeatedly or continuously over time; muscular endurance and resistance to fatigue. (FRS≈0.25)."
1,33,low,"[abstract strategy games] Search/planning over discrete states; strong mapping to rule-based reasoning/patterns. — little for 'Dynamic Strength', unrelated to the ability to exert muscle force repeatedly or continuously over time; muscular endurance and resistance to fatigue. (FRS≈0.00)."
1,34,high,"[abstract strategy games] Search/planning over discrete states; strong mapping to rule-based reasoning/patterns. — engages 'Explosive Strength': the ability to use short bursts of muscle force to propel oneself (e.g., jumping or sprinting) or to throw an object. (FRS≈0.00)."
1,34,low,"[abstract strategy games] Search/planning over discrete states; strong mapping to rule-based reasoning/patterns. — little for 'Explosive Strength', unrelated to the ability to use short bursts of muscle force to propel oneself (e.g., jumping or sprinting) or to throw an object. (FRS≈0.00)."
2,35,high,"[real-time video games] Rapid perception–action cycles, multitasking in dynamic environments. — engages 'Trunk Strength': the ability to use abdominal and lower back muscles to support part of the body repeatedly or continuously without fatiguing. (FRS≈0.25)."
1,35,low,"[abstract strategy games] Search/planning over discrete states; strong mapping to rule-based reasoning/patterns. — little for 'Trunk Strength', unrelated to the ability to use abdominal and lower back muscles to support part of the body repeatedly or continuously without fatiguing. (FRS≈0.00)."
2,36,high,"[real-time video games] Rapid perception–action cycles, multitasking in dynamic environments. — engages 'Stamina': the ability to exert yourself physically over long periods without getting winded or out of breath. (FRS≈0.25)."
1,36,low,"[abstract strategy games] Search/planning over discrete states; strong mapping to rule-based reasoning/patterns. — little for 'Stamina', unrelated to the ability to exert yourself physically over long periods without getting winded or out of breath. (FRS≈0.00)."
1,37,high,"[abstract strategy games] Search/planning over discrete states; strong mapping to rule-based reasoning/patterns. — engages 'Extent Flexibility': the ability to bend, stretch, twist, or reach with your body, arms, and/or legs. (FRS≈0.25)."
3,37,low,"[image recognition] Detects/categorizes visual objects; limited for non-visual abilities. — little for 'Extent Flexibility', unrelated to the ability to bend, stretch, twist, or reach with your body, arms, and/or legs. (FRS≈0.00)."
1,38,high,"[abstract strategy games] Search/planning over discrete states; strong mapping to rule-based reasoning/patterns. — engages 'Dynamic Flexibility': the ability to quickly and repeatedly bend, stretch, twist, or reach with your body, arms, and/or legs. (FRS≈0.25)."
3,38,low,"[image recognition] Detects/categorizes visual objects; limited for non-visual abilities. — little for 'Dynamic Flexibility', unrelated to the ability to quickly and repeatedly bend, stretch, twist, or reach with your body, arms, and/or legs. (FRS≈0.00)."
1,39,high,"[abstract strategy games] Search/planning over discrete states; strong mapping to rule-based reasoning/patterns. — engages 'Gross Body Coordination': the ability to coordinate the movement of your arms, legs, and torso together when the whole body is in motion. (FRS≈0.00)."
1,39,low,"[abstract strategy games] Search/planning over discrete states; strong mapping to rule-based reasoning/patterns. — little for 'Gross Body Coordination', unrelated to the ability to coordinate the movement of your arms, legs, and torso together when the whole body is in motion. (FRS≈0.00)."
1,40,high,[abstract strategy games] Search/planning over discrete states; strong mapping to rule-based reasoning/patterns. — engages 'Gross Body Equilibrium': the ability to keep or regain your body balance or stay upright when in an unstable position. (FRS≈0.00).
1,40,low,"[abstract strategy games] Search/planning over discrete states; strong mapping to rule-based reasoning/patterns. — little for 'Gross Body Equilibrium', unrelated to the ability to keep or regain your body balance or stay upright when in an unstable position. (FRS≈0.00)."
3,41,high,[image recognition] Detects/categorizes visual objects; limited for non-visual abilities. — engages 'Near Vision': the ability to see details at close range (within a few feet of the observer). (FRS≈1.00).
6,41,low,"[reading comprehension] Extracts meaning and evidence from text; aligns with text-based reasoning. — little for 'Near Vision', unrelated to the ability to see details at close range (within a few feet of the observer). (FRS≈0.00)."
3,42,high,[image recognition] Detects/categorizes visual objects; limited for non-visual abilities. — engages 'Far Vision': the ability to see details at a distance. (FRS≈0.75).
1,42,low,"[abstract strategy games] Search/planning over discrete states; strong mapping to rule-based reasoning/patterns. — little for 'Far Vision', unrelated to the ability to see details at a distance. (FRS≈0.00)."
3,43,high,[image recognition] Detects/categorizes visual objects; limited for non-visual abilities. — engages 'Peripheral Vision': the ability to see objects or the movement of objects to one's side when the eyes are looking ahead. (FRS≈0.75).
6,43,low,"[reading comprehension] Extracts meaning and evidence from text; aligns with text-based reasoning. — little for 'Peripheral Vision', unrelated to the ability to see objects or the movement of objects to one's side when the eyes are looking ahead. (FRS≈0.00)."
3,44,high,"[image recognition] Detects/categorizes visual objects; limited for non-visual abilities. — engages 'Depth Perception': the ability to judge which of several objects is closer or farther away, or to judge distance. (FRS≈1.00)."
6,44,low,"[reading comprehension] Extracts meaning and evidence from text; aligns with text-based reasoning. — little for 'Depth Perception', unrelated to the ability to judge which of several objects is closer or farther away, or to judge distance. (FRS≈0.00)."
3,45,high,"[image recognition] Detects/categorizes visual objects; limited for non-visual abilities. — engages 'Visual Color Discrimination': the ability to match or detect differences between colors, including shades and brightness. (FRS≈1.00)."
6,45,low,"[reading comprehension] Extracts meaning and evidence from text; aligns with text-based reasoning. — little for 'Visual Color Discrimination', unrelated to the ability to match or detect differences between colors, including shades and brightness. (FRS≈0.00)."
3,46,high,[image recognition] Detects/categorizes visual objects; limited for non-visual abilities. — engages 'Night Vision': the ability to see under low‑light conditions. (FRS≈0.75).
1,46,low,"[abstract strategy games] Search/planning over discrete states; strong mapping to rule-based reasoning/patterns. — little for 'Night Vision', unrelated to the ability to see under low‑light conditions. (FRS≈0.00)."
3,47,high,[image recognition] Detects/categorizes visual objects; limited for non-visual abilities. — engages 'Glare Sensitivity': the ability to see objects in the presence of glare or bright lighting. (FRS≈1.00).
6,47,low,"[reading comprehension] Extracts meaning and evidence from text; aligns with text-based reasoning. — little for 'Glare Sensitivity', unrelated to the ability to see objects in the presence of glare or bright lighting. (FRS≈0.00)."
9,48,high,[speech recognition] Transcribes speech; aligns with auditory/speech perception. — engages 'Hearing Sensitivity': the ability to detect or tell the differences between sounds that vary in pitch and loudness. (FRS≈0.75).
3,48,low,"[image recognition] Detects/categorizes visual objects; limited for non-visual abilities. — little for 'Hearing Sensitivity', unrelated to the ability to detect or tell the differences between sounds that vary in pitch and loudness. (FRS≈0.00)."
9,49,high,[speech recognition] Transcribes speech; aligns with auditory/speech perception. — engages 'Auditory Attention': the ability to focus on a single source of sound in the presence of other distracting sounds. (FRS≈1.00).
3,49,low,"[image recognition] Detects/categorizes visual objects; limited for non-visual abilities. — little for 'Auditory Attention', unrelated to the ability to focus on a single source of sound in the presence of other distracting sounds. (FRS≈0.00)."
2,50,high,"[real-time video games] Rapid perception–action cycles, multitasking in dynamic environments. — engages 'Sound Localization': the ability to tell the direction from which a sound originated. (FRS≈0.75)."
3,50,low,"[image recognition] Detects/categorizes visual objects; limited for non-visual abilities. — little for 'Sound Localization', unrelated to the ability to tell the direction from which a sound originated. (FRS≈0.00)."
9,51,high,[speech recognition] Transcribes speech; aligns with auditory/speech perception. — engages 'Speech Recognition': the ability to identify and understand the speech of another person. (FRS≈1.00).
1,51,low,"[abstract strategy games] Search/planning over discrete states; strong mapping to rule-based reasoning/patterns. — little for 'Speech Recognition', unrelated to the ability to identify and understand the speech of another person. (FRS≈0.00)."
9,52,high,[speech recognition] Transcribes speech; aligns with auditory/speech perception. — engages 'Speech Clarity': the ability to speak clearly so others can understand you. (FRS≈0.75).
1,52,low,"[abstract strategy games] Search/planning over discrete states; strong mapping to rule-based reasoning/patterns. — little for 'Speech Clarity', unrelated to the ability to speak clearly so others can understand you. (FRS≈0.00)."
7,53,high,[language modeling] Text/speech cues support 'Social Perceptiveness': being aware of others' reactions and understanding why they react as they do..
3,53,low,"[image recognition] Visual/control tasks provide little for 'Social Perceptiveness', unrelated to being aware of others' reactions and understanding why they react as they do.."
7,54,high,[language modeling] Text/speech cues support 'Coordination': adjusting actions in relation to others' actions..
3,54,low,"[image recognition] Visual/control tasks provide little for 'Coordination', unrelated to adjusting actions in relation to others' actions.."
7,55,high,[language modeling] Text/speech cues support 'Persuasion': persuading others to change their minds or behavior..
3,55,low,"[image recognition] Visual/control tasks provide little for 'Persuasion', unrelated to persuading others to change their minds or behavior.."
7,56,high,[language modeling] Text/speech cues support 'Negotiation': bringing others together and trying to reconcile differences..
3,56,low,"[image recognition] Visual/control tasks provide little for 'Negotiation', unrelated to bringing others together and trying to reconcile differences.."
7,57,high,[language modeling] Text/speech cues support 'Instructing': teaching others how to do something..
3,57,low,"[image recognition] Visual/control tasks provide little for 'Instructing', unrelated to teaching others how to do something.."
7,58,high,[language modeling] Text/speech cues support 'Service Orientation': actively looking for ways to help people..
3,58,low,"[image recognition] Visual/control tasks provide little for 'Service Orientation', unrelated to actively looking for ways to help people.."
