ai_app_id,ability_id,replicate,attained_level,ceiling_reason,confidence,error
12,6,2,3.0,"It reliably produces workable, sometimes non-obvious fixes by recombining patterns already present in code and training data, but it cannot be trusted unsupervised to originate genuinely novel designs, algorithms, or architectural reconceptions (level 4+), and its more inventive attempts often need human vetting.",medium,
9,4,1,2.0,"The pipeline only renders someone else's speech as punctuated text; it originates no content, structure or audience-tailored argument, so it cannot compose even a modest self-authored document like a recommendation letter.",high,
13,56,2,3.3,"It can argue a position fluently and haggle within pre-set parameters, but binding commercial bargaining (level 4) requires authority, judgment about walk-away points and counterparty leverage, and accountability for a contract the system cannot be trusted to commit to unsupervised — and it cannot convene or mediate between real parties with genuine stakes.",medium,
9,2,1,1.5,"The pipeline takes audio, not text, as input; its language model exploits word-sequence statistics for homophone disambiguation but never reads and comprehends written material, so it cannot substitute for a human reading even simple documents.",high,
6,13,1,2.5,"It can extract numbers from a passage and do small single-step sums or comparisons, but as a text-reading model without a calculator it makes silent errors on multi-digit, multi-step running arithmetic (checkbook balancing, interest computation), so exact-arithmetic work cannot be left unsupervised.",medium,
9,20,0,4.0,"It sustains vigilance on an audio stream indefinitely without fatigue, but it only pattern-matches sound to text and cannot maintain the comprehension-level concentration on complex content that the level 6 anchor requires, and its accuracy still degrades under heavy overlap and noise.",medium,
10,27,0,1.0,"Response Orientation is a psychomotor ability requiring rapid selection among physical movements in response to sensory signals; a digital agent makes no bodily movements and operates over deliberative, not reaction-time, horizons.",high,
5,23,1,1.0,"An image-generation model has no physical actuators and performs no grasping or manipulation of objects at all, so it does nothing for this activity even at level 1.",high,
7,56,0,2.5,"It can compose persuasive justifications and simulate back-and-forth bargaining in text, but it has no standing, authority, or accountability to commit a party to terms, cannot verify facts or reliably handle price/quantity arithmetic, and cannot read or manage a live counterparty's interests, so binding deal-making at level 4 is out of reach.",medium,
6,44,2,1.0,"A text-reading QA system has no visual or spatial sensing and performs no distance judgment whatsoever, even at level 1.",high,
9,35,0,1.0,"A speech-to-text model has no body and performs no physical trunk exertion whatsoever, so it does nothing for this activity even at level 1.",high,
12,47,2,1.0,"The application is a text/code-based system with no visual perception at all, so it performs nothing on a physical vision ability like seeing under glare.",high,
2,13,0,1.5,"A trained game agent only performs arithmetic implicitly inside its policy (resource counts, damage estimates) and cannot be handed an explicit calculation task such as balancing accounts or computing interest.",medium,
4,30,1,1.0,"Visual question answering is a purely software perceptual-linguistic system with no hands, actuators, or physical embodiment, so it performs no finger, hand, or wrist movement at any level.",high,
3,6,0,1.0,"A trained classifier assigns labels from a fixed learned category space and generates no novel ideas or solutions, so it performs no part of the originality activity even at level 1.",high,
2,29,2,5.0,"Trained agents react to in-game visual signals with superhuman latency and near-perfect consistency, but only to stimuli within their training distribution — they miss or misclassify rare, novel, or ambiguous signals, so the level-6 anchor's safety-critical, unexpected-stimulus reliability is not attained.",medium,
7,2,0,5.5,"It reliably extracts and applies meaning from complex prose like leases, policies and technical articles, but on dense specialist manuals it still misreads long-range dependencies, conflates similar clauses and states misreadings confidently, so safety-critical comprehension (the level-6 anchor) cannot be left unverified.",high,
12,3,1,1.0,"The system produces code patches and written artifacts with no spoken output or interactive verbal exchange, so it performs no oral communication at all.",high,
3,33,0,1.0,"A vision model has no body or actuators and exerts no muscular force at all, so it performs nothing on this physical-endurance activity even at level 1.",high,
2,45,0,2.5,"Game agents reliably distinguish the highly saturated, well-separated colors games use to encode state (team colors, health bars, item tints), but they are trained on that specific palette and do not perform fine shade/brightness matching or color reproduction in novel visual conditions.",medium,
11,25,0,1.0,"The application is a purely symbolic reasoning system with no actuators or machine controls, so it performs no physical control adjustment at any level.",high,
12,15,2,4.5,"It rapidly organizes noisy, partial inputs (stack traces, logs, sprawling code) into a coherent diagnosis, but on unfamiliar or large codebases it frequently latches onto a plausible-but-wrong pattern and needs test feedback or human review to catch it, so the level-5 kind of consequential inference from ambiguous signals isn't reliable unsupervised.",medium,
13,27,0,1.0,"Response Orientation requires selecting and initiating physical movements in response to signals, and a conversational system has no motor output at all — even the level 2 anchor (choosing which of two ringing devices to physically answer) is outside what it does.",high,
5,19,1,3.4,"It can render plausible rearranged or restyled scenes on demand, but it cannot reliably enforce precise geometric, part-count and structural correctness (the diagram-following fidelity of level 4), so outputs need human checking whenever spatial accuracy, not plausibility, is what matters.",medium,
5,32,0,1.0,"An image generation model has no physical embodiment and exerts no muscular or mechanical force at all, so it does nothing for this activity even at level 1.",high,
5,30,0,1.0,"Image generation is a purely computational output with no physical actuation, so it performs no finger, hand, or wrist movement at any level.",high,
1,35,0,1.0,"A game-playing search agent has no body or musculature, so it performs no trunk-strength activity at any level.",high,
9,31,1,1.0,"A speech-to-text pipeline has no limbs or actuators and performs no physical movement whatsoever, so it does nothing for this activity even at level 1.",high,
8,29,2,1.0,"A text translation model has no sensory-motor loop and produces no hand, finger, or foot response to a signal, so it performs nothing on this physical reaction-time scale.",high,
7,17,0,2.2,"With no perceptual channel or time-pressured input, it can only do text-symbol matching like sorting addresses by ZIP at leisure; character-level comparison is tokenization-degraded and the level 4+ anchors (reading gauges under a clock, inspecting parts on a moving line) require real-time visual perception it does not have.",high,
4,37,2,1.0,"Visual question answering is a purely software-based perceptual/linguistic system with no body or actuators, so it cannot bend, stretch, twist, or reach at all.",high,
3,11,0,3.0,"It applies one fixed, pre-trained visual taxonomy to surface appearance and cannot generate new grouping rules or classify on non-visual attributes (cost, strength, melting point) as level 6 requires.",medium,
5,18,1,1.0,"An image generator has no location or egocentric frame in any environment; it synthesises pixels from a prompt and never determines where it or other objects are relative to itself, so it does not perform this activity even at the level-2 floor-plan anchor.",high,
7,1,2,1.5,"A text-only language model without external tools cannot receive or process an acoustic speech signal at all; it can only handle spoken content already converted to text by something else, so it does not perform listening comprehension even at the level-2 anchor.",high,
3,7,0,2.8,"It can flag visually evident anomalies (defects, missing or damaged objects) in a single frame, but has no access to context, temporal cues or non-visual signals needed to judge that something is *likely* to go wrong, and its consequential uses (e.g. early disease detection) still require human confirmation.",medium,
8,24,2,1.0,"A translation model has no hands or physical actuators, so it performs no finger manipulation at any level.",high,
7,27,2,1.0,Response Orientation is a psychomotor ability requiring selection and initiation of physical movements to sensory signals; a text-predicting model has no motor output or real-time signal channel and performs none of it.,high,
7,20,1,3.0,"A bare language model has no temporal persistence or monitoring loop, so it cannot hold vigilance over a shift-length period; within a single pass it stays on instruction amid irrelevant context but degrades on long, distractor-heavy inputs, capping it below the level-4 sustained-monitoring anchor.",medium,
2,5,1,2.3,"Search and policy networks do enumerate many candidate moves/strategies within a fixed game action space, but the agent cannot generate or articulate ideas about an arbitrary topic outside its trained environment, so it cannot substitute for a human asked to produce lists of ideas.",medium,
7,10,1,4.0,"It reliably orders text, steps, and moderately complex rule-based sequences, but without external tools it drifts on long or strictly constrained orderings and cannot be trusted unsupervised for precision-critical, high-consequence assembly-style sequencing.",medium,
9,43,2,1.0,"A speech transcription pipeline processes audio only and has no visual input whatsoever, so it performs no peripheral vision activity at any level.",high,
11,13,0,5.5,"Reasoning models handle formula selection and multi-step computation (e.g., interest, amortization, unit conversions) reliably, but without a calculator/tool loop they still make silent slips on long or large-magnitude arithmetic, so high-stakes unsupervised numerical work above the level-5 anchor isn't dependable.",medium,
13,30,2,1.0,Wrist-Finger Speed is a physical manual dexterity ability requiring hands and fingers; a conversational AI system has no effectors and performs none of it even at level 1.,high,
2,7,0,3.5,"Trained agents reliably spot in-game threats and anticipate failure states within the closed, fully-observable-by-design environment they were trained on, but cannot detect anomalies outside that distribution or read subtle, novel cues of impending trouble as the level-4+ anchors require.",medium,
2,8,1,3.5,"Trained agents apply learned regularities fluently within one game's fixed rule set under time pressure, but the 'rules' are implicit policy statistics rather than explicit general principles, so performance collapses on rule changes, novel maps, or unseen strategies and cannot be transferred to open-ended inference like the level-5 anchor.",medium,
5,37,1,1.0,"An image generation model has no physical body and cannot bend, stretch, twist, or reach at all, so it performs none of this activity even at level 1.",high,
7,28,1,1.0,Rate Control is a continuous psychomotor timing ability requiring physical control of body or equipment relative to a moving object; a text-only model has no sensors or actuators and performs nothing at even level 1.,high,
13,34,0,1.0,"A conversational AI has no body and cannot exert any muscular force, so it performs nothing on this physical activity even at level 1.",high,
13,31,0,1.0,"A conversational system has no limbs or physical actuation, so it performs nothing on this psychomotor activity even at level 1.",high,
2,10,0,4.5,"Trained agents reliably execute complex learned action sequences (build orders, multi-step tactical combos) within their game, but the ordering is statistically learned rather than derived from explicit rules, so novel or out-of-distribution rule sets and any consequential real-world sequencing task break it.",medium,
3,41,0,5.0,"It reliably resolves fine detail and fine-grained categories in controlled close-range images, but expert-grade minor-defect detection (level 6) demands rare-defect sensitivity, calibrated confidence and out-of-distribution robustness that trained classifiers lack without human verification.",medium,
8,28,2,1.0,Rate Control is a psychomotor ability requiring timed physical movement in response to moving objects; a text translation model has no motor output or perception of motion whatsoever.,high,
10,2,0,5.5,"It reads and acts on dense technical documentation, code and API specs at near-expert fidelity, but on long, ambiguous or safety-critical texts it still silently misreads constraints and confabulates details, so level-6 comprehension cannot be trusted unsupervised.",medium,
11,31,1,1.0,"The application is a disembodied reasoning system with no limbs or actuators, so it performs no physical limb movement at any level.",high,
1,21,2,2.3,"A game engine operates on a single homogeneous input stream (the board state) and at most interleaves search with clock management or pondering; it never shifts attention among genuinely distinct, concurrently changing information sources as the level 3+ anchors require.",medium,
12,57,1,1.5,"The application is defined as autonomously producing code patches with no human audience; beyond incidental explanatory text in commit messages or comments it does not teach anyone a procedure, so it barely reaches the level-2 anchor of instructing a new employee in a simple task.",high,
8,9,1,2.4,"The model only performs the shallow inference incidental to translation 
i.e. inferring register, referent, or terminology from surrounding context 
and cannot combine dispersed, non-obvious evidence into novel general conclusions as level 4+ anchors require.",medium,
8,10,0,3.5,"It reliably applies complex sequencing rules within text (syntactic reordering, clause and list ordering across languages), but ordering is only incidental to translation — it cannot be handed responsibility for ordering actions or objects in the physical, procedural or safety-critical sense the higher anchors describe.",medium,
4,9,1,3.0,"It reliably combines everyday visual cues into simple conclusions about a scene, but hallucination, counting and fine-detail errors make it untrustworthy for unsupervised multi-clue inference where a wrong conclusion carries real consequences (level 4+).",medium,
10,33,2,1.0,"Dynamic Strength is a purely physical muscular-endurance ability; a digital agentic software system has no body and exerts no muscle force at all, so it does nothing for this activity even at level 1.",high,
11,52,1,1.0,"The system is a text-based reasoning engine that produces no spoken output at all, so it does not perform the activity even at the bingo-caller level.",high,
1,50,1,1.0,"A board-game search agent has no audio input or spatial-auditory processing at all, so it performs nothing on this activity even at level 1.",high,
4,26,2,1.0,"A multimodal model that outputs text has no limbs or actuators, so it performs no part of physical multilimb coordination even at level 1.",high,
2,44,1,4.0,"Game agents judge relative distance and lead moving targets reliably, but they do so within a simulator that supplies calibrated depth or a fixed rendering, so they do not attain the real-world metric distance judgment under novel viewpoints and consequential stakes implied by the higher anchors.",medium,
6,37,1,1.0,"A text-reading question-answering model has no body or actuators, so it performs no physical bending, stretching, twisting, or reaching at any level.",high,
12,18,2,1.0,"The application operates purely on text/code in a repository and has no body, sensors, or physical location to orient within an environment, so it does not perform the activity at all.",high,
13,6,2,4.3,"It reliably produces clever recombinations and plausible redesigns of familiar problems (level-4 territory), but genuinely novel invention requiring grounded domain discovery and validation of whether the idea actually works is beyond it, and its 'unusual' outputs still need a human to filter the unworkable ones.",medium,
6,30,2,1.0,"A text-reading question-answering model has no hands or physical actuators, so it performs no finger, hand, or wrist movements at any level.",high,
9,21,1,2.5,"It processes a single audio modality end-to-end and can at best follow overlapping speakers within that one stream; it never alternates between heterogeneous information sources or interleaves a second task, so anchors from level 3 upward (monitoring a secondary channel while performing a concurrent activity, or fusing radar with radio under load) are out of reach.",medium,
6,1,1,2.5,"The system has no speech input at all ""it only reads supplied written passages"" so it can only stand in for oral comprehension when someone else has already transcribed the speech, and it cannot handle the prosody, disfluency, speaker-tracking and real-time interactive clarification that mid- and high-level anchors (coach's instructions, advanced physics lecture) require.",medium,
9,12,0,1.0,"A speech recognition pipeline transcribes audio to text and performs no selection of mathematical methods or formulas at all, so it does nothing for this activity even at level 1.",high,
5,34,1,1.0,"An image generation model has no body or actuators, so it cannot exert muscle force to jump, sprint, or throw anything at any level.",high,
13,28,0,1.0,Rate Control is a physical sensorimotor timing ability requiring anticipation of moving objects; a conversational text/speech system has no effectors or motion tracking and performs nothing on this activity even at level 1.,high,
13,27,1,1.0,"Response Orientation is a psychomotor ability requiring selection and initiation of physical movements in response to signals; a conversational system produces no movements at all, so it does not perform the activity even at level 1.",high,
7,3,0,3.5,"The model produces the verbal content of clear explanations but has no speech output, prosody, or real-time auditory turn-taking, so it cannot itself deliver information orally to a listener beyond supplying scripted wording that a human or external tool must voice.",medium,
6,57,0,2.5,"It can only relay procedural steps that are explicitly present in the supplied passage, with no ability to demonstrate, gauge whether the learner understood, or adapt the explanation over a teaching interaction, so it stops just past simple 'explain this simple procedure from the manual' instructing.",medium,
6,58,0,1.5,"The system only answers questions posed to it about a supplied passage; it never proactively identifies what a person needs nor takes any service action, so it falls short even of the level-2 anchor of volunteering a simple offer of help, and has no capacity to transact on a customer's behalf (level 4).",medium,
5,12,0,1.5,"The model renders plausible geometry and perspective implicitly but does not select or apply mathematical methods to solve a stated problem, and it is unreliable even at level-1 tasks like counting objects or rendering correct arithmetic/numeric labels in an image.",medium,
12,58,2,2.5,"It only executes an already-written issue ticket inside a codebase
initiative, no dialogue with the requester, and no ability to elicit or anticipate what a person actually needs.",medium,
2,43,2,4.2,"Game agents ingest the whole frame uniformly and can track off-center units and teammates while acting on a primary target (level-4 equivalent), but this is screen-wide input rather than true off-axis sensing, and it has never been shown reliable in the high-stakes, cluttered real-world discrimination the level-6 anchor describes.",low,
3,57,2,1.0,"A vision model that outputs object labels does not teach anyone anything; it produces no explanation, demonstration, or adaptive guidance, so it performs no part of instructing even at level 1.",high,
6,32,1,1.0,"A text-reading question-answering model has no physical embodiment and exerts no muscle force at all, so it performs nothing on this activity even at level 1.",high,
5,42,1,1.0,"Image generation synthesises pixels from prompts and has no capacity to sense or resolve detail in the distant physical world, so it performs none of this perceptual activity even at level 1.",high,
2,35,1,1.0,"A game-playing software agent has no body or abdominal/back musculature, so it performs no trunk-strength activity at any level.",high,
10,54,2,2.7,"It can reliably handle rule-bound, API-mediated coordination (booking, rescheduling, dispatching, sequencing sub-agents), but cannot sustain the reciprocal, real-time renegotiation with human counterparts whose plans shift mid-task — nor be held accountable for it — as level 4+ joint work requires.",medium,
6,12,2,2.5,"It can extract numbers from a passage and do simple arithmetic or comparison steps stated there, but selecting and applying a mathematical method not spelled out in the text (e.g., devising a profit-and-bonus calculation) falls outside evidence-locating reading comprehension and is not reliable unsupervised.",medium,
2,44,2,4.5,"Agents judge in-game distances and lead moving targets very accurately, but only from rendered cues in the single environment they were trained on \u2014 the depth estimates are game-specific heuristics that break on novel scenes or true physical distance judgment, so the anticipatory, adversarial precision of the level-6 anchor is not reliably attained outside the training distribution.",medium,
9,34,2,1.0,"Speech recognition is a software transcription pipeline with no physical actuators, so it exerts no muscle force or propulsion at any level.",high,
10,42,1,1.0,"The application has no distance-viewing sensory apparatus and operates only on digital inputs, so it performs no far-vision activity even at level 1.",high,
2,4,0,1.0,"A game-playing agent emits control actions, not prose; it produces no written communication for a human reader even at the level of a reminder note.",high,
